Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:Building Mean Temperature [C](TimeStep),EMS:Building Mean PPD [%](TimeStep),EMS:Building Total Occupants [%](TimeStep),EMS:Occupancy Flag [](TimeStep),EMS:Indoor Air Temperature Setpoint [](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),MAIN HEATING COIL 1:Heating Coil Electric Power [W](TimeStep),OUTSIDE AIR INLET NODE 1:System Node Temperature [C](TimeStep),OUTSIDE AIR INLET NODE 1:System Node Mass Flow Rate [kg/s](TimeStep),SPACE1-1 IN NODE:System Node Temperature [C](TimeStep),SPACE1-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE2-1 IN NODE:System Node Temperature [C](TimeStep),SPACE2-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE3-1 IN NODE:System Node Temperature [C](TimeStep),SPACE3-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE4-1 IN NODE:System Node Temperature [C](TimeStep),SPACE4-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),SPACE5-1 IN NODE:System Node Temperature [C](TimeStep),SPACE5-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 OUTLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),MIXED AIR NODE 1:System Node Temperature [C](TimeStep),MIXED AIR NODE 1:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 INLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/23  01:15:00,-5.6,85.0,2.1,305.0,0.0,0.0,12.77635424802121,98.73104111877933,0.0,0.0,12.8,12.8,40.0,7322.580431234565,5172.1088856131359,-5.6,0.2769311893313138,12.865698861747072,0.35352498872576279,12.865698861747072,0.15235871715606565,12.865698861747072,0.3439702593007421,12.865698861747072,0.15235871715606567,12.865698861747072,0.6506129002880642,12.865698861747072,1.6528255826267,9.44860757360679,1.6528255826267,12.475693458665806,1.6528255826267003 
 01/23  01:30:00,-5.6,85.0,2.1,310.0,0.0,0.0,12.820489774839519,98.58006803664861,0.0,0.0,12.8,12.8,40.0,7444.3309119261189,5293.859366304689,-5.6,0.2769311893313138,12.92544597845408,0.35352498872576279,12.92544597845408,0.15235871715606565,12.92544597845408,0.3439702593007421,12.92544597845408,0.15235871715606567,12.92544597845408,0.6506129002880642,12.92544597845408,1.6528255826267,9.436715732170324,1.6528255826267,12.461513405691984,1.6528255826267003 
 01/23  01:45:00,-5.6,85.0,2.1,315.0,0.0,0.0,12.829832623791102,98.50646899507795,0.0,0.0,12.8,12.8,40.0,5288.329575206836,3137.8580295854055,-5.6,0.2769311893313138,11.65636067220625,0.35352498872576279,11.65636067220625,0.15235871715606565,11.65636067220625,0.3439702593007421,11.65636067220625,0.15235871715606567,11.65636067220625,0.6506129002880642,11.65636067220625,1.6528255826267,9.434449692191344,1.6528255826267,12.458888095478177,1.6528255826267003 
 01/23  02:00:00,-5.6,85.0,2.1,320.0,0.0,0.0,12.636736989946762,98.4877079035654,0.0,0.0,12.8,12.8,40.0,8136.483366344811,5986.011820723382,-5.6,0.2769311893313138,13.31664625017168,0.35352498872576279,13.31664625017168,0.15235871715606565,13.31664625017168,0.3439702593007421,13.31664625017168,0.15235871715606567,13.31664625017168,0.6506129002880642,13.31664625017168,1.6528255826267,9.421000720235096,1.6528255826267,12.442825980910678,1.6528255826267003 
 01/23  02:15:00,-5.449999999999999,84.0,2.225,325.0,0.0,0.0,12.778211501686798,98.72677706882897,0.0,0.0,12.8,12.8,40.0,5366.740994225906,3246.269448604476,-5.449999999999999,0.2769311893313138,11.656342083657757,0.35352498872576279,11.656342083657757,0.15235871715606565,11.656342083657757,0.3439702593007421,11.656342083657757,0.15235871715606567,11.656342083657757,0.6506129002880642,11.656342083657757,1.6528255826267,9.370614462651245,1.6528255826267,12.352225229763699,1.6528255826267003 
 01/23  02:30:00,-5.3,83.0,2.35,330.0,0.0,0.0,12.630101520335547,98.58818436906313,0.0,0.0,12.8,12.8,40.0,8172.112001425291,6081.640455803859,-5.3,0.2769311893313138,13.343577322832602,0.35352498872576279,13.343577322832602,0.15235871715606565,13.343577322832602,0.3439702593007421,13.343577322832602,0.15235871715606567,13.343577322832602,0.6506129002880642,13.343577322832602,1.6528255826267,9.391556998542237,1.6528255826267,12.347293991052857,1.6528255826267003 
 01/23  02:45:00,-5.15,82.0,2.475,335.0,0.0,0.0,12.775360522289763,98.7545762110723,0.0,0.0,12.8,12.8,40.0,7434.398529593301,5373.92698397187,-5.15,0.2769311893313138,12.903776736294923,0.35352498872576279,12.903776736294923,0.15235871715606565,12.903776736294923,0.3439702593007421,12.903776736294923,0.15235871715606567,12.903776736294923,0.6506129002880642,12.903776736294923,1.6528255826267,9.36758016405068,1.6528255826267,12.288397480668215,1.6528255826267003 
 01/23  03:00:00,-5.0,81.0,2.6,340.0,0.0,0.0,12.821330685767516,98.6035132594287,0.0,0.0,12.8,12.8,40.0,7401.127593520688,5370.656047899256,-5.0,0.2769311893313138,12.935373663016959,0.35352498872576279,12.935373663016959,0.15235871715606565,12.935373663016959,0.3439702593007421,12.935373663016959,0.15235871715606567,12.935373663016959,0.6506129002880642,12.935373663016959,1.6528255826267,9.401030611955143,1.6528255826267,12.298474048638129,1.6528255826267003 
 01/23  03:15:00,-5.425,81.0,2.475,347.5,0.0,0.0,12.829273722096877,98.53407660087307,0.0,0.0,12.8,12.8,40.0,7611.181382328934,5495.709836707503,-5.425,0.2769311893313138,12.952251160351969,0.35352498872576279,12.952251160351969,0.15235871715606565,12.952251160351969,0.3439702593007421,12.952251160351969,0.15235871715606567,12.952251160351969,0.6506129002880642,12.952251160351969,1.6528255826267,9.34426814930458,1.6528255826267,12.315469830784516,1.6528255826267003 
 01/23  03:30:00,-5.85,81.0,2.35,355.0,0.0,0.0,12.831090332408632,98.52731116087486,0.0,0.0,12.8,12.8,40.0,7860.532306867264,5660.060761245835,-5.85,0.2769311893313138,12.978797184058083,0.35352498872576279,12.978797184058083,0.15235871715606565,12.978797184058083,0.3439702593007421,12.978797184058083,0.15235871715606567,12.978797184058083,0.6506129002880642,12.978797184058083,1.6528255826267,9.27407887256824,1.6528255826267,12.316330665833556,1.6528255826267003 
